Start (s),End (s),Scientific name,Common name,Confidence,File
1485.0,1488.0,Pica pica,Eurasian Magpie,0.2832,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1602.0,1605.0,Spinus spinus,Eurasian Siskin,0.3112,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1605.0,1608.0,Spinus spinus,Eurasian Siskin,0.2975,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1614.0,1617.0,Spinus spinus,Eurasian Siskin,0.2605,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1623.0,1626.0,Spinus spinus,Eurasian Siskin,0.2863,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1626.0,1629.0,Spinus spinus,Eurasian Siskin,0.2080,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1674.0,1677.0,Spinus spinus,Eurasian Siskin,0.3288,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1680.0,1683.0,Cygnus cygnus,Whooper Swan,0.9446,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1689.0,1692.0,Spinus spinus,Eurasian Siskin,0.3327,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1698.0,1701.0,Cygnus cygnus,Whooper Swan,0.3084,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1707.0,1710.0,Cygnus cygnus,Whooper Swan,0.9855,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1797.0,1800.0,Cygnus cygnus,Whooper Swan,0.2756,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
